Country	Gini (2006)
Afghanistan	
Albania	
Algeria	
Andorra	
Angola	
Antigua and Barbuda	
Argentina	47.7
Armenia	32.8
Australia	
Austria	
Azerbaijan	
Bahamas	
Bahrain	
Bangladesh	
Barbados	
Belarus	28.6
Belgium	
Belize	
Benin	
Bhutan	
Bolivia (Plurinational State of)	56.4
Bosnia and Herzegovina	
Botswana	
Brazil	56.8
Brunei Darussalam	
Bulgaria	
Burkina Faso	
Burundi	33.3
Cambodia	
Cameroon	
Canada	
Cape Verde	
Central African Republic	
Chad	
Chile	51.8
China	
Colombia	58.7
Comoros	
Congo	
democratic republic of the congo	44.4
Costa Rica	49.1
cote d'ivoire	
Croatia	
Cuba	
Cyprus	
Czech Republic	
Denmark	
Djibouti	
Dominica	
Dominican Republic	51.9
Ecuador	53.2
Egypt	
El Salvador	46.2
Equatorial Guinea	
Eritrea	
Estonia	
Ethiopia	
Fiji	
Finland	
France	
Gabon	
Gambia	
Georgia	41.1
Germany	
Ghana	42.8
Greece	
Grenada	
Guatemala	55.9
Guinea	
Guinea-Bissau	
Guyana	
Haiti	
Honduras	57.6
china	
Hungary	
Iceland	
India	
Indonesia	
Iran (Islamic Republic of)	
Iraq	
Ireland	
Israel	
Italy	
Jamaica	
Japan	
Jordan	37.7
Kazakhstan	30.8
Kenya	
Kiribati	
democratic people's republic of korea	
republic of korea	
Kuwait	
Kyrgyzstan	38.7
Lao People's Democratic Republic	
Latvia	
Lebanon	
Lesotho	
Liberia	
Libya	
Liechtenstein	
Lithuania	
Luxembourg	
The former Yugoslav Republic of Macedonia	42.8
Madagascar	
Malawi	
Malaysia	
Maldives	
Mali	39
Malta	
Marshall Islands	
Mauritania	
Mauritius	
Mexico	48.1
Micronesia (Federated States of)	
republic of moldova	36.1
Monaco	
Mongolia	
Montenegro	29.3
Morocco	
Mozambique	
Myanmar	
Namibia	
Nauru	
Nepal	
Netherlands	
New Zealand	
Nicaragua	
Niger	
Nigeria	
Norway	
palestine (state of)	
Oman	
Pakistan	32.7
Palau	
Panama	55.1
Papua New Guinea	
Paraguay	54.9
Peru	50.9
Philippines	44
Poland	34.1
Portugal	
Qatar	
Romania	32.1
Russian Federation	42.1
Rwanda	53.1
Saint Kitts and Nevis	
Saint Lucia	
Saint Vincent and the Grenadines	
Samoa	
San Marino	
Sao Tome and Principe	
Saudi Arabia	
Senegal	
Serbia	29.6
Seychelles	
Sierra Leone	
Singapore	
Slovakia	27.7
Slovenia	
Solomon Islands	
Somalia	
South Africa	67.4
Spain	
Sri Lanka	
Sudan	
Suriname	
Swaziland	
Sweden	
Switzerland	
Syrian Arab Republic	
Tajikistan	
united republic of tanzania	
Thailand	42.4
Timor-Leste	
Togo	34.4
Tonga	
Trinidad and Tobago	
Tunisia	
Turkey	40.3
Turkmenistan	
Tuvalu	
Uganda	42.6
Ukraine	29.7
United Arab Emirates	
united kingdom of great britain and northern ireland	
united states of america	
Uruguay	47.2
Uzbekistan	
Vanuatu	
Venezuela (Bolivarian Republic of)	44.8
Viet Nam	35.8
Yemen	
Zambia	54.6
Zimbabwe	
